doc_id,doc_title,scene_index,scene,source,target,relation_type_raw,relation_type,weight,evidence,evidence_line_ids,derived_by,llm_confidence
pdf_01000000__01003002___acc415186d,群英会,1,【第一场】,甘宁,蒋干,提及,提及,1,蒋干过江。,pdf_01000000__01003002___acc415186d__line__000075,mention,
pdf_01000000__01003002___acc415186d,群英会,1,【第一场】,鲁肃,蒋干,问答,对话,1,"都督闻听蒋干过江,为何发笑?",pdf_01000000__01003002___acc415186d__line__000075,mention,
pdf_01000000__01003002___acc415186d,群英会,1,【第一场】,周瑜,曹操,提及,提及,1,"大夫,蒋干过江,必与曹操做说客而来,待我略施小计,管叫曹操中计。来,客厅伺候。",pdf_01000000__01003002___acc415186d__line__000075,mention,
pdf_01000000__01003002___acc415186d,群英会,1,【第一场】,周瑜,蒋干,提及,提及,2,"大夫,蒋干过江,必与曹操做说客而来,待我略施小计,管叫曹操中计。来,客厅伺候。",pdf_01000000__01003002___acc415186d__line__000075,mention,
pdf_01000000__01003002___acc415186d,群英会,1,【第一场】,众将,曹操,提及,提及,1,吓!敢你是与曹操操作说客而来?,pdf_01000000__01003002___acc415186d__line__000075,mention,
pdf_01000000__01003002___acc415186d,群英会,1,【第一场】,周瑜,太史慈,命令/请求,命令,1,太史慈听令。,pdf_01000000__01003002___acc415186d__line__000075,mention,
pdf_01000000__01003002___acc415186d,群英会,1,【第一场】,周瑜,黄盖,命令/请求,命令,1,黄盖听令。,pdf_01000000__01003002___acc415186d__line__000079,mention,
pdf_01000000__01003002___acc415186d,群英会,1,【第一场】,周瑜,甘宁,命令/请求,命令,1,甘宁听令。,pdf_01000000__01003002___acc415186d__line__000079,mention,
pdf_01000000__01003002___acc415186d,群英会,2,【第二场】,周瑜,黄盖,对话/应答,对话,2,何事?,pdf_01000000__01003002___acc415186d__line__000085,adjacency,
pdf_01000000__01003002___acc415186d,群英会,2,【第二场】,黄盖,周瑜,对话/应答,对话,2,今有蔡......,pdf_01000000__01003002___acc415186d__line__000085,adjacency,
pdf_01000000__01003002___acc415186d,群英会,2,【第二场】,周瑜,蒋干,对话/应答,对话,3,"仁兄,你看我七日之内,定取曹操首级来见。",pdf_01000000__01003002___acc415186d__line__000085,adjacency,
pdf_01000000__01003002___acc415186d,群英会,2,【第二场】,蒋干,周瑜,对话/应答,对话,2,怎样的取法?,pdf_01000000__01003002___acc415186d__line__000085,adjacency,
pdf_01000000__01003002___acc415186d,群英会,2,【第二场】,蒋干,鲁肃,对话/应答,对话,2,倘若是他知道岂肯放我?恨不得插双翅飞过江河。,pdf_01000000__01003002___acc415186d__line__000085,adjacency,
pdf_01000000__01003002___acc415186d,群英会,2,【第二场】,鲁肃,蒋干,对话/应答,对话,1,蒋先生请了。,pdf_01000000__01003002___acc415186d__line__000085,adjacency,
pdf_01000000__01003002___acc415186d,群英会,2,【第二场】,鲁肃,周瑜,对话/应答,对话,4,"吓,都督醒来。",pdf_01000000__01003002___acc415186d__line__000085,adjacency,
pdf_01000000__01003002___acc415186d,群英会,2,【第二场】,周瑜,鲁肃,对话/应答,对话,4,何事?,pdf_01000000__01003002___acc415186d__line__000085,adjacency,
pdf_01000000__01003002___acc415186d,群英会,2,【第二场】,黄盖,曹操,提及,提及,1,"今有蔡瑁、张允,有书到来,不用七日只用三天,定取曹操首级来见。",pdf_01000000__01003002___acc415186d__line__000085,mention,
pdf_01000000__01003002___acc415186d,群英会,2,【第二场】,黄盖,蔡瑁,提及,提及,1,"今有蔡瑁、张允,有书到来,不用七日只用三天,定取曹操首级来见。",pdf_01000000__01003002___acc415186d__line__000085,mention,
pdf_01000000__01003002___acc415186d,群英会,2,【第二场】,黄盖,张允,提及,提及,1,"今有蔡瑁、张允,有书到来,不用七日只用三天,定取曹操首级来见。",pdf_01000000__01003002___acc415186d__line__000085,mention,
